scenario_id,collection,budget,graph,result_set_id,source_result_set_id,approach_id,approach_label,is_reference,seed,seed_count,generations,population_size,mutation_rate,reward,cost,explicit_reward,validated_reward,runtime_seconds,is_valid,validation_notes,computed_reward,computed_cost,unique_visited_nodes,route_hops
planar_weighted_small_budget030,planar_weighted_small,30,graph_025.txt,greedy_planar_weighted_small_b030,greedy_planar_weighted_small_b030,greedy,Greedy Baseline,False,,,,,,197,26,,,0.00032745799398981035,True,,197,26,4,8
planar_weighted_small_budget030,planar_weighted_small,30,graph_026.txt,greedy_planar_weighted_small_b030,greedy_planar_weighted_small_b030,greedy,Greedy Baseline,False,,,,,,234,20,,,0.00044416700256988406,True,,234,20,5,7
planar_weighted_small_budget030,planar_weighted_small,30,graph_027.txt,greedy_planar_weighted_small_b030,greedy_planar_weighted_small_b030,greedy,Greedy Baseline,False,,,,,,35,20,,,0.0002747919934336096,True,,35,20,1,2
planar_weighted_small_budget030,planar_weighted_small,30,graph_028.txt,greedy_planar_weighted_small_b030,greedy_planar_weighted_small_b030,greedy,Greedy Baseline,False,,,,,,51,6,,,0.0002530839992687106,True,,51,6,1,2
planar_weighted_small_budget030,planar_weighted_small,30,graph_029.txt,greedy_planar_weighted_small_b030,greedy_planar_weighted_small_b030,greedy,Greedy Baseline,False,,,,,,121,22,,,0.0004896669997833669,True,,121,22,4,5
planar_weighted_small_budget030,planar_weighted_small,30,graph_030.txt,greedy_planar_weighted_small_b030,greedy_planar_weighted_small_b030,greedy,Greedy Baseline,False,,,,,,107,28,,,0.00043487499351613224,True,,107,28,2,4
planar_weighted_small_budget030,planar_weighted_small,30,graph_031.txt,greedy_planar_weighted_small_b030,greedy_planar_weighted_small_b030,greedy,Greedy Baseline,False,,,,,,0,0,,,0.0002991250075865537,True,,0,0,0,0
planar_weighted_small_budget030,planar_weighted_small,30,graph_032.txt,greedy_planar_weighted_small_b030,greedy_planar_weighted_small_b030,greedy,Greedy Baseline,False,,,,,,122,24,,,0.000264208996668458,True,,122,24,2,4
planar_weighted_small_budget030,planar_weighted_small,30,graph_033.txt,greedy_planar_weighted_small_b030,greedy_planar_weighted_small_b030,greedy,Greedy Baseline,False,,,,,,339,26,,,0.0002740829950198531,True,,339,26,4,6
planar_weighted_small_budget030,planar_weighted_small,30,graph_034.txt,greedy_planar_weighted_small_b030,greedy_planar_weighted_small_b030,greedy,Greedy Baseline,False,,,,,,273,29,,,0.00046954199206084013,True,,273,29,5,8
planar_weighted_small_budget030,planar_weighted_small,30,graph_035.txt,greedy_planar_weighted_small_b030,greedy_planar_weighted_small_b030,greedy,Greedy Baseline,False,,,,,,280,23,,,0.00041608299943618476,True,,280,23,5,7
planar_weighted_small_budget030,planar_weighted_small,30,graph_036.txt,greedy_planar_weighted_small_b030,greedy_planar_weighted_small_b030,greedy,Greedy Baseline,False,,,,,,181,22,,,0.00035574997309595346,True,,181,22,4,8
planar_weighted_small_budget030,planar_weighted_small,30,graph_037.txt,greedy_planar_weighted_small_b030,greedy_planar_weighted_small_b030,greedy,Greedy Baseline,False,,,,,,126,26,,,0.0002987500047311187,True,,126,26,2,4
planar_weighted_small_budget030,planar_weighted_small,30,graph_038.txt,greedy_planar_weighted_small_b030,greedy_planar_weighted_small_b030,greedy,Greedy Baseline,False,,,,,,1,18,,,0.0002542500151321292,True,,1,18,1,2
planar_weighted_small_budget030,planar_weighted_small,30,graph_039.txt,greedy_planar_weighted_small_b030,greedy_planar_weighted_small_b030,greedy,Greedy Baseline,False,,,,,,130,24,,,0.0003251250018365681,True,,130,24,3,6
planar_weighted_small_budget030,planar_weighted_small,30,graph_040.txt,greedy_planar_weighted_small_b030,greedy_planar_weighted_small_b030,greedy,Greedy Baseline,False,,,,,,299,24,,,0.0004677090037148446,True,,299,24,4,8
planar_weighted_small_budget030,planar_weighted_small,30,graph_041.txt,greedy_planar_weighted_small_b030,greedy_planar_weighted_small_b030,greedy,Greedy Baseline,False,,,,,,489,27,,,0.00043133299914188683,True,,489,27,6,7
planar_weighted_small_budget030,planar_weighted_small,30,graph_042.txt,greedy_planar_weighted_small_b030,greedy_planar_weighted_small_b030,greedy,Greedy Baseline,False,,,,,,0,0,,,0.0002909159811679274,True,,0,0,0,0
planar_weighted_small_budget030,planar_weighted_small,30,graph_043.txt,greedy_planar_weighted_small_b030,greedy_planar_weighted_small_b030,greedy,Greedy Baseline,False,,,,,,0,0,,,0.0002791250008158386,True,,0,0,0,0
